Player,Team,Position,Age,Value
Patrick Mahomes,KCC,QB,27,9999
Justin Jefferson,MIN,WR,24,9804
Josh Allen,BUF,QB,27,9717
Jalen Hurts,PHI,QB,25,9675
Joe Burrow,CIN,QB,26,9379
Ja'Marr Chase,CIN,WR,23,8991
Justin Herbert,LAC,QB,25,8491
Trevor Lawrence,JAC,QB,23,8207
Lamar Jackson,BAL,QB,26,7906
Bijan Robinson,ATL,RB,21,7843
CeeDee Lamb,DAL,WR,24,7330
Garrett Wilson,NYJ,WR,23,7170
Justin Fields,CHI,QB,24,7153
A.J. Brown,PHI,WR,26,6936
Jaylen Waddle,MIA,WR,24,6839
Amon-Ra St. Brown,DET,WR,23,6598
Chris Olave,NOS,WR,23,6432
Anthony Richardson,IND,QB,21,6427
Christian McCaffrey,SFO,RB,27,6231
Breece Hall,NYJ,RB,22,6231
2024 Early 1st,FA,PI,-1,6223
Jonathan Taylor,IND,RB,24,6163
2023 Early 1st,FA,PI,-1,6162
DeVonta Smith,PHI,WR,24,5999
Jahmyr Gibbs,DET,RB,21,5997
Bryce Young,CAR,QB,22,5981
Deshaun Watson,CLE,QB,27,5903
Tee Higgins,CIN,WR,24,5884
Tyreek Hill,MIA,WR,29,5866
Drake London,ATL,WR,22,5825
Jaxon Smith-Njigba,SEA,WR,21,5778
DK Metcalf,SEA,WR,25,5762
Mark Andrews,BAL,TE,27,5760
C.J. Stroud,HOU,QB,21,5706
Travis Kelce,KCC,TE,33,5705
Saquon Barkley,NYG,RB,26,5681
Kyle Pitts,ATL,TE,22,5678
Kyler Murray,ARI,QB,26,5644
Stefon Diggs,BUF,WR,29,5589
Tua Tagovailoa,MIA,QB,25,5549
Cooper Kupp,LAR,WR,30,5361
Dak Prescott,DAL,QB,30,5331
Travis Etienne,JAC,RB,24,5248
Kenneth Walker III,SEA,RB,22,5175
Josh Jacobs,LVR,RB,25,5140
Nick Chubb,CLE,RB,27,5047
2023 Mid 1st,FA,PI,-1,4972
2025 Early 1st,FA,PI,-1,4958
Austin Ekeler,LAC,RB,28,4933
Rhamondre Stevenson,NEP,RB,25,4929
2024 Mid 1st,FA,PI,-1,4924
Daniel Jones,NYG,QB,26,4882
Tony Pollard,DAL,RB,26,4847
Davante Adams,LVR,WR,30,4843
Jordan Addison,MIN,WR,21,4787
Najee Harris,PIT,RB,25,4785
Brandon Aiyuk,SFO,WR,25,4737
Quentin Johnston,LAC,WR,21,4733
T.J. Hockenson,MIN,TE,26,4703
Christian Watson,GBP,WR,24,4690
Jerry Jeudy,DEN,WR,24,4658
Jahan Dotson,WAS,WR,23,4536
D.J. Moore,CHI,WR,26,4447
Javonte Williams,DEN,RB,23,4401
Jameson Williams,DET,WR,22,4270
Deebo Samuel,SFO,WR,27,4255
Terry McLaurin,WAS,WR,27,4249
J.K. Dobbins,BAL,RB,24,4239
Jared Goff,DET,QB,28,4193
2024 Late 1st,FA,PI,-1,4192
George Pickens,PIT,WR,22,4191
2023 Late 1st,FA,PI,-1,4187
2025 Mid 1st,FA,PI,-1,4182
Michael Pittman,IND,WR,25,4178
Jordan Love,GBP,QB,24,4172
Calvin Ridley,JAC,WR,28,4167
Derrick Henry,TEN,RB,29,4153
Treylon Burks,TEN,WR,23,4118
Kenny Pickett,PIT,QB,25,4109
Zay Flowers,BAL,WR,22,4096
Chris Godwin,TBB,WR,27,4087
Dameon Pierce,HOU,RB,23,4074
George Kittle,SFO,TE,29,4072
Dalton Kincaid,BUF,TE,23,4037
Christian Kirk,JAC,WR,26,4015
Marquise Brown,ARI,WR,26,3985
Zach Charbonnet,SEA,RB,22,3968
Diontae Johnson,PIT,WR,27,3923
Dallas Goedert,PHI,TE,28,3913
2025 Late 1st,FA,PI,-1,3912
Amari Cooper,CLE,WR,29,3911
Geno Smith,SEA,QB,32,3829
Brock Purdy,SFO,QB,23,3805
Kirk Cousins,MIN,QB,34,3794
Miles Sanders,CAR,RB,26,3789
Cam Akers,LAR,RB,24,3715
Rachaad White,TBB,RB,24,3703
D'Andre Swift,PHI,RB,24,3690
Pat Freiermuth,PIT,TE,24,3683
Joe Mixon,CIN,RB,27,3668
Aaron Jones,GBP,RB,28,3610
Alexander Mattison,MIN,RB,25,3591
Russell Wilson,DEN,QB,34,3559
Derek Carr,NOS,QB,32,3525
Devon Achane,MIA,RB,21,3512
Trey Lance,SFO,QB,23,3496
Elijah Moore,CLE,WR,23,3450
James Cook,BUF,RB,23,3446
Mac Jones,NEP,QB,24,3436
Rashod Bateman,BAL,WR,23,3434
Isiah Pacheco,KCC,RB,24,3418
Kendre Miller,NOS,RB,21,3394
Aaron Rodgers,NYJ,QB,39,3391
Sam LaPorta,DET,TE,22,3371
Mike Williams,LAC,WR,28,3370
Kadarius Toney,KCC,WR,24,3344
Mike Evans,TBB,WR,29,3339
2023 Early 2nd,FA,PI,-1,3331
David Montgomery,DET,RB,26,3300
DeAndre Hopkins,TEN,WR,31,3292
Keenan Allen,LAC,WR,31,3277
2024 Early 2nd,FA,PI,-1,3248
Michael Mayer,LVR,TE,22,3228
Desmond Ridder,ATL,QB,23,3172
Antonio Gibson,WAS,RB,25,3163
Sam Howell,WAS,QB,22,3139
Greg Dulcich,DEN,TE,23,3128
AJ Dillon,GBP,RB,25,3108
Jonathan Mingo,CAR,WR,22,3101
Alvin Kamara,NOS,RB,28,3081
Tyler Lockett,SEA,WR,30,3054
Darren Waller,NYG,TE,30,3016
Chigoziem Okonkwo,TEN,TE,23,3010
Dalvin Cook,FA,RB,27,3006
Evan Engram,JAC,TE,28,2921
2023 Mid 2nd,FA,PI,-1,2920
Brian Robinson,WAS,RB,24,2904
Skyy Moore,KCC,WR,22,2902
David Njoku,CLE,TE,27,2899
Roschon Johnson,CHI,RB,22,2878
Will Levis,TEN,QB,24,2874
Gabriel Davis,BUF,WR,24,2866
2024 Mid 2nd,FA,PI,-1,2860
Khalil Herbert,CHI,RB,25,2803
Romeo Doubs,GBP,WR,23,2778
Marvin Mims,DEN,WR,21,2760
2025 Early 2nd,FA,PI,-1,2758
James Conner,ARI,RB,28,2727
Tank Bigsby,JAC,RB,21,2727
Josh Downs,IND,WR,21,2717
Rashee Rice,KCC,WR,23,2701
Matthew Stafford,LAR,QB,35,2654
JuJu Smith-Schuster,NEP,WR,26,2630
Jayden Reed,GBP,WR,23,2599
Wan'Dale Robinson,NYG,WR,22,2586
Tyjae Spears,TEN,RB,22,2579
John Metchie,HOU,WR,23,2566
Cole Kmet,CHI,TE,24,2566
Dalton Schultz,HOU,TE,27,2544
Brandin Cooks,DAL,WR,29,2531
Nico Collins,HOU,WR,24,2527
2023 Late 2nd,FA,PI,-1,2527
Alec Pierce,IND,WR,23,2495
Rondale Moore,ARI,WR,23,2487
2025 Mid 2nd,FA,PI,-1,2479
Trey McBride,ARI,TE,23,2461
2024 Late 2nd,FA,PI,-1,2447
Jalin Hyatt,NYG,WR,21,2439
Rashaad Penny,PHI,RB,27,2438
Darnell Mooney,CHI,WR,25,2437
Jamaal Williams,NOS,RB,28,2430
Jakobi Meyers,LVR,WR,26,2420
Courtland Sutton,DEN,WR,27,2408
Luke Musgrave,GBP,TE,22,2381
Jimmy Garoppolo,LVR,QB,31,2372
2025 Late 2nd,FA,PI,-1,2371
Isaiah Likely,BAL,TE,23,2361
Tyler Allgeier,ATL,RB,23,2351
Elijah Mitchell,SFO,RB,25,2343
Damien Harris,BUF,RB,26,2218
Jaylen Warren,PIT,RB,24,2203
Hendon Hooker,DET,QB,25,2196
Samaje Perine,DEN,RB,27,2159
Ryan Tannehill,TEN,QB,35,2144
Rashid Shaheed,NOS,WR,24,2136
Allen Lazard,NYJ,WR,27,2125
